pers_id,sexo,edad,ingreso,situacion_lab,empleo_sl,empleo_i,rango_etario
71906556521,F,47,35926.28125,Sin_situacion_declarada,,1,40-49
73861260912,F,41,16231.12207,Sin_situacion_declarada,,0,40-49
24939194469,F,40,25068.96484,Relacion_dependencia,1,1,40-49
21033369421,F,52,30239.54883,Jubilado,0,0,50-59
45334163605,F,46,12654.58203,Relacion_dependencia,1,1,40-49
45950163250,F,42,36741.95313,Relacion_dependencia,1,1,40-49
34347124153,F,59,21580.17773,Jubilado,0,0,50-59
19013301905,F,58,59715.01563,Sin_situacion_declarada,,1,50-59
18002091908,F,47,14351.08984,Sin_situacion_declarada,,0,40-49
39938025577,F,58,122346.4844,Sin_situacion_declarada,,1,50-59
9202454476,F,51,17691.07617,Sin_situacion_declarada,,1,50-59
35723294944,F,42,23752.75586,Autonomo_Monotributista,1,1,40-49
71071693571,F,47,22712.45898,Sin_situacion_declarada,,1,40-49
81563889519,F,50,23502.25977,Sin_situacion_declarada,,1,50-59
13667163195,F,57,15845.43164,Autonomo_Monotributista,1,1,50-59
50258264532,F,59,34864.74609,Autonomo_Monotributista,1,1,50-59
76805517927,F,55,25287.98438,Autonomo_Monotributista,1,1,50-59
11465191243,F,52,29234.07227,Sin_situacion_declarada,,1,50-59
480680297,F,54,120907.3125,Autonomo_Monotributista,1,1,50-59
93839225375,F,46,14555.24609,Sin_situacion_declarada,,0,40-49
24663586450,F,43,24974.73047,Autonomo_Monotributista,1,1,40-49
712638473,F,53,18329.54492,Sin_situacion_declarada,,1,50-59
74077994394,F,43,67168.29688,Autonomo_Monotributista,1,1,40-49
19275825713,F,57,23753.08984,Sin_situacion_declarada,,1,50-59
36257484236,F,51,49733.09766,Relacion_dependencia,1,1,50-59
12381456288,F,45,13946.94043,Sin_situacion_declarada,,0,40-49
14867777607,F,51,26970.37891,Sin_situacion_declarada,,1,50-59
31522043621,F,43,37810.41797,Sin_situacion_declarada,,1,40-49
20494717101,F,52,28897.10352,Sin_situacion_declarada,,1,50-59
94186099883,F,47,52019.91406,Relacion_dependencia,1,1,40-49
87709205131,F,51,22975.22266,Sin_situacion_declarada,,1,50-59
54369954749,F,48,48883.16016,Sin_situacion_declarada,,1,40-49
60347422735,F,52,62986.41016,Relacion_dependencia,1,1,50-59
31580067465,F,47,17741.36133,Relacion_dependencia,1,1,40-49
25476501041,F,47,58678.15625,Autonomo_Monotributista,1,1,40-49
89651660175,F,45,57628.94531,Relacion_dependencia,1,1,40-49
85535405611,F,42,35840.57813,Relacion_dependencia,1,1,40-49
63312136973,F,45,83766.73438,Relacion_dependencia,1,1,40-49
890224097,F,56,12797.63672,Sin_situacion_declarada,,0,50-59
66752229582,F,44,44233.76953,Relacion_dependencia,1,1,40-49
91867498675,F,40,23255.47852,Sin_situacion_declarada,,1,40-49
72135011880,F,51,22934.26563,Jubilado,0,0,50-59
39201303633,F,41,5601.28418,Sin_situacion_declarada,,0,40-49
90073854103,F,58,51994.00391,Autonomo_Monotributista,1,1,50-59
12112591405,F,58,37198.66406,Relacion_dependencia,1,1,50-59
41082403223,F,57,23666.68164,Sin_situacion_declarada,,1,50-59
77017034207,F,46,44362.84766,Relacion_dependencia,1,1,40-49
91518825795,F,44,17727.21289,Sin_situacion_declarada,,1,40-49
32030147172,F,44,29506.35156,Sin_situacion_declarada,,1,40-49
11313372880,F,59,10184.58203,Sin_situacion_declarada,,0,50-59
9582753460,F,57,56154.47266,Relacion_dependencia,1,1,50-59
10839199383,F,57,44959.02734,Sin_situacion_declarada,,1,50-59
38045107470,F,47,30690.30859,Relacion_dependencia,1,1,40-49
8090785077,F,46,66259.9375,Autonomo_Monotributista,1,1,40-49
92148680286,F,46,67527.75781,Autonomo_Monotributista,1,1,40-49
7268073096,F,45,28275.68164,Sin_situacion_declarada,,1,40-49
52655253254,F,53,48050.15625,Autonomo_Monotributista,1,1,50-59
51858789701,F,44,9948.728516,Sin_situacion_declarada,,0,40-49
53037619313,F,60,24612.67383,Jubilado,0,0,60-69
56398998832,F,43,6842.094727,Sin_situacion_declarada,,0,40-49
39122698860,F,54,17220.58203,Sin_situacion_declarada,,1,50-59
22336934070,F,40,18305.65234,Sin_situacion_declarada,,1,40-49
86013711513,F,51,30166.6582,Relacion_dependencia,1,1,50-59
