pers_id,periodo,score
27817725,2019-12-01,814
37570691,2019-12-01,597
40181240,2019-12-01,251
52105045,2019-12-01,617
63502595,2019-12-01,392
71883873,2019-12-01,110
77542792,2019-12-01,356
88457690,2019-12-01,749
92986454,2019-12-01,12
115374139,2019-12-01,62
149628434,2019-12-01,679
176232771,2019-12-01,402
203154803,2019-12-01,383
214551356,2019-12-01,290
242749907,2019-12-01,738
248006298,2019-12-01,749
255163451,2019-12-01,681
262009559,2019-12-01,686
292751218,2019-12-01,856
314246780,2019-12-01,696
324112448,2019-12-01,423
326052148,2019-12-01,580
360157147,2019-12-01,351
368593272,2019-12-01,418
395033316,2019-12-01,290
404408073,2019-12-01,398
454609235,2019-12-01,390
480680297,2019-12-01,1
489800212,2019-12-01,799
521707385,2019-12-01,583
540481089,2019-12-01,409
551848109,2019-12-01,1
563948961,2019-12-01,429
567260558,2019-12-01,554
589699369,2019-12-01,580
615033590,2019-12-01,321
664887966,2019-12-01,5
697626624,2019-12-01,658
707482685,2019-12-01,940
707665418,2019-12-01,372
712638473,2019-12-01,1
724061157,2019-12-01,872
767287851,2019-12-01,492
849879749,2019-12-01,136
890224097,2019-12-01,51
917300490,2019-12-01,424
989888038,2019-12-01,76
989974689,2019-12-01,320
996529235,2019-12-01,514
1011993760,2019-12-01,851
1018123171,2019-12-01,752
1050022372,2019-12-01,356
1088166204,2019-12-01,432
1099161734,2019-12-01,633
1106272839,2019-12-01,957
1106904639,2019-12-01,750
1168522470,2019-12-01,378
1177406608,2019-12-01,51
1210384230,2019-12-01,117
1210674459,2019-12-01,221
1265437223,2019-12-01,339
1269917527,2019-12-01,669
1311369940,2019-12-01,431
1333460288,2019-12-01,675
1342965922,2019-12-01,51
1375495877,2019-12-01,261
1395587998,2019-12-01,88
1397671628,2019-12-01,589
1516894779,2019-12-01,780
1525862209,2019-12-01,909
1551701406,2019-12-01,411
1553759937,2019-12-01,140
1572860674,2019-12-01,856
1579612431,2019-12-01,957
1592440781,2019-12-01,373
1595990075,2019-12-01,467
